date,home,away,home_score,away_score,ht_home,ht_away,shots_home,shots_away,sot_home,sot_away,fouls_home,fouls_away,corners_home,corners_away,yellow_home,yellow_away,red_home,red_away,possession_home,possession_away,pass_acc_home,pass_acc_away,tackles_home,tackles_away,saves_home,saves_away
2026-01-28,Atlético-MG,Palmeiras,2,2,1,1,5,8,1,5,9,12,1,6,4,2,1,0,57,43,89,81,9,8,2,1
2026-01-28,Internacional,Athletico-PR,0,1,0,1,10,4,3,2,8,8,7,1,2,1,0,0,63,37,87,70,5,8,0,5
2026-01-28,Coritiba,Bragantino,0,1,0,0,5,18,2,10,9,18,1,4,1,6,1,0,35,65,71,87,14,9,13,3
2026-01-28,Vitória,Remo,2,0,0,0,14,8,6,1,13,16,3,1,2,4,0,0,45,55,79,84,8,9,5,8
2026-01-28,Fluminense,Grêmio,2,1,0,0,10,5,6,2,11,9,3,6,1,1,0,0,50,50,87,83,11,16,2,3
2026-01-28,Corinthians,Bahia,1,2,1,2,9,6,4,5,11,14,4,5,3,5,0,1,57,43,85,79,27,11,5,7
2026-01-28,Chapecoense,Santos,4,2,1,1,4,22,4,6,10,4,1,14,2,3,0,0,40,60,77,86,24,11,11,3
2026-01-28,São Paulo,Flamengo,2,1,0,0,8,11,4,5,14,11,2,6,0,0,0,0,44,56,81,85,28,13,5,5
2026-01-28,Atletico-MG,Palmeiras,2,2,1,1,14,13,2,6,14,20,5,7,5,2,1,0,52,48,,,,,,
2026-01-28,Vitoria,Remo,2,0,0,0,20,14,7,1,13,17,4,1,2,4,0,0,42,58,,,,,,
2026-01-28,Fluminense,Gremio,2,1,0,0,10,12,6,3,13,13,3,6,1,2,0,0,51,49,,,,,,
2026-01-28,Chapecoense-SC,Santos,4,2,1,1,8,25,4,5,10,5,1,14,3,3,0,0,34,66,,,,,,
2026-01-29,Mirassol,Vasco,2,1,1,1,10,6,3,3,13,8,5,3,2,1,0,0,51,49,84,84,9,11,6,4
2026-01-29,Botafogo,Cruzeiro,4,0,0,0,10,11,5,4,10,11,3,7,2,2,0,0,48,52,85,85,13,4,10,1
2026-01-29,Sao Paulo,Flamengo RJ,2,1,0,0,10,15,4,5,14,11,2,6,0,0,0,1,41,59,,,,,,
2026-01-30,Botafogo RJ,Cruzeiro,4,0,0,0,10,17,5,4,10,12,3,7,2,2,0,0,46,54,,,,,,
2026-02-04,Flamengo,Internacional,1,1,0,1,9,9,4,5,19,17,4,3,4,2,0,0,61,39,88,81,13,11,3,9
2026-02-04,Bragantino,Atlético-MG,1,0,1,0,10,6,5,2,13,8,6,12,3,1,0,0,49,51,80,81,12,10,6,8
2026-02-04,Santos,São Paulo,1,1,1,0,7,7,4,3,15,19,6,4,4,1,0,0,52,48,78,82,9,21,3,8
2026-02-04,Remo,Mirassol,2,2,2,0,13,8,7,6,15,9,4,4,2,2,0,0,38,62,75,84,21,11,4,8
